File,Anatomical Structure,Theiler Stage,Age,Strain
E-GEOD-74747.rpt,brain,28,postnatal week 8,C57BL/6
E-GEOD-74747.rpt,heart,28,postnatal week 8,C57BL/6
E-GEOD-74747.rpt,metanephros,28,postnatal week 8,C57BL/6
E-GEOD-74747.rpt,liver,28,postnatal week 8,C57BL/6
E-GEOD-74747.rpt,lung,28,postnatal week 8,C57BL/6
E-GEOD-74747.rpt,skin,28,postnatal week 8,C57BL/6
E-GEOD-74747.rpt,spleen,28,postnatal week 8,C57BL/6
E-GEOD-74747.rpt,testis,28,postnatal week 8,C57BL/6
E-GEOD-74747.rpt,thymus,28,postnatal week 8,C57BL/6
E-MTAB-9192.rpt,brown fat,28,postnatal week 12,C57BL/6J
E-MTAB-9192.rpt,white fat,28,postnatal week 12,C57BL/6J
E-MTAB-6547.rpt,ileum,28,postnatal week 8-12,C57BL/6
E-MTAB-8838.rpt,spinal cord,28,postnatal week 8-10,C57BL/6J
E-MTAB-8838.rpt,cerebral cortex,28,postnatal week 8-10,C57BL/6J
E-MTAB-8838.rpt,cerebellum,28,postnatal week 8-10,C57BL/6J
E-MTAB-9148.rpt,colon,28,postnatal week 8,C57BL/6N
E-MTAB-8573.rpt,bronchus,28,postnatal week 8-16,C57BL/6J
E-MTAB-8573.rpt,trachea,28,postnatal week 8-16,C57BL/6J
E-GEOD-72165.rpt,adrenal medulla,28,postnatal adult,C57BL/6
E-GEOD-55163.rpt,gastrocnemius muscle,28,postnatal month 6,C57BL/6
